Date,Open,High,Low,Close,Adj Close,Volume
2015-11-25,107.510002,107.660004,107.250000,107.470001,96.942802,1820300
2015-11-27,107.589996,107.760002,107.220001,107.629997,97.087128,552400
2015-11-30,107.779999,107.849998,107.110001,107.169998,96.672195,3618100
2015-12-01,107.589996,108.209999,107.370003,108.180000,97.583282,2443600
2015-12-02,108.099998,108.269997,106.879997,107.050003,96.563965,2937200
2015-12-03,107.290001,107.480003,105.059998,105.449997,95.120667,3345600
2015-12-04,105.809998,107.540001,105.620003,107.389999,96.870644,4520000
2015-12-07,107.230003,107.269997,106.059998,106.550003,96.112930,3000500
2015-12-08,105.940002,106.400002,105.269997,105.910004,95.535606,3149600
2015-12-09,105.550003,106.750000,104.480003,105.000000,94.714760,4179800
2015-12-10,105.180000,106.059998,104.919998,105.309998,94.994370,3684900
2015-12-11,104.169998,104.430000,103.070000,103.239998,93.127151,5100700
2015-12-14,103.360001,103.720001,102.180000,103.610001,93.460922,7237800
2015-12-15,104.440002,105.190002,104.360001,104.720001,94.462173,2918000
2015-12-16,105.459999,106.419998,104.699997,106.239998,95.833298,5972400
2015-12-17,106.440002,106.470001,104.680000,104.680000,94.426102,4939900
2015-12-18,104.169998,104.360001,102.900002,102.900002,92.820473,4207700
2015-12-21,103.190002,103.279999,102.370003,103.129997,93.557999,3240700
2015-12-22,103.650002,104.260002,103.040001,104.059998,94.401703,2876600
2015-12-23,104.629997,105.400002,104.510002,105.360001,95.581009,3342300
2015-12-24,105.220001,105.599998,105.080002,105.230003,95.463097,1460500
2015-12-28,104.879997,105.000000,104.320000,105.000000,95.254425,3479600
2015-12-29,105.690002,106.239998,105.540001,106.120003,96.270508,2508300
2015-12-30,105.959999,106.000000,105.250000,105.320000,95.544731,2405900
2015-12-31,104.930000,105.320000,104.300003,104.300003,94.619408,3652200
2016-01-04,102.580002,102.949997,101.580002,102.739998,93.204193,6138300
2016-01-05,102.900002,103.180000,102.300003,102.970001,93.412849,3652300
2016-01-06,101.529999,102.230003,100.949997,101.589996,92.160927,3732800
2016-01-07,99.900002,100.800003,98.870003,99.099998,89.902061,9256200
2016-01-08,99.610001,99.989998,97.779999,97.970001,88.876915,7015800
2016-01-11,98.550003,98.669998,96.779999,97.910004,88.822502,6863800
2016-01-12,98.800003,99.169998,97.279999,98.580002,89.430305,4457300
2016-01-13,99.000000,99.199997,95.779999,96.040001,87.126053,6163000
2016-01-14,96.360001,98.180000,95.330002,97.510002,88.459641,5085100
2016-01-15,95.050003,95.879997,94.220001,95.459999,86.599899,8101700
2016-01-19,96.570000,96.669998,94.500000,95.360001,86.509171,7435700
2016-01-20,94.000000,95.269997,91.790001,94.419998,85.656425,13844900
2016-01-21,94.699997,95.959999,93.820000,94.790001,85.992081,7169500
2016-01-22,96.330002,96.889999,95.949997,96.809998,87.824608,3701500
2016-01-25,96.639999,96.650002,95.110001,95.220001,86.382164,4470500
2016-01-26,95.599998,96.820000,95.440002,96.669998,87.697586,3333400
2016-01-27,96.400002,97.320000,95.050003,95.570000,86.699684,5202400
2016-01-28,96.559998,96.660004,95.050003,95.949997,87.044411,4540700
2016-01-29,96.449997,98.360001,96.349998,98.330002,89.203522,5005400
2016-02-01,97.750000,98.809998,97.370003,98.349998,89.221657,3868900
2016-02-02,97.500000,97.550003,96.160004,96.449997,87.498016,3279600
2016-02-03,97.089996,97.290001,94.889999,97.029999,88.024170,5457300
2016-02-04,96.790001,97.919998,96.470001,97.260002,88.232826,3431800
2016-02-05,96.940002,97.000000,94.949997,95.260002,86.418442,3993600
2016-02-08,94.199997,94.379997,92.500000,93.779999,85.075813,6303900
2016-02-09,92.839996,94.470001,92.699997,93.660004,84.966949,4793900
2016-02-10,94.190002,95.269997,93.620003,93.720001,85.021385,3580000
2016-02-11,92.389999,93.059998,91.580002,92.559998,83.969048,7239700
2016-02-12,93.470001,94.379997,93.010002,94.360001,85.601990,2948100
2016-02-16,95.620003,96.089996,94.959999,96.080002,87.162346,3577700
2016-02-17,96.769997,97.930000,96.589996,97.669998,88.604774,3635000
2016-02-18,97.900002,97.919998,97.089996,97.279999,88.250961,2432100
2016-02-19,96.849998,97.360001,96.430000,97.300003,88.269112,2243700
2016-02-22,98.239998,98.800003,98.110001,98.720001,89.557304,2235400
2016-02-23,98.379997,98.519997,97.470001,97.529999,88.477753,3203900
2016-02-24,96.580002,98.139999,95.989998,98.029999,88.931374,3253400
2016-02-25,98.269997,99.190002,97.820000,99.190002,89.983719,4961900
2016-02-26,99.669998,99.760002,98.959999,99.110001,89.911133,3194300
2016-02-29,99.120003,99.690002,98.320000,98.320000,89.194458,2749400
2016-03-01,99.129997,100.680000,98.839996,100.660004,91.317261,2955700
2016-03-02,100.519997,101.239998,100.260002,101.220001,91.825294,3591400
