Date,Open,High,Low,Close,Adj Close,Volume
2011-05-02,12.490714,12.565357,12.339286,12.380714,10.646210,1761415600
2011-05-09,12.423571,12.500000,12.155357,12.160714,10.457034,1470954800
2011-05-16,12.114286,12.228929,11.811786,11.972143,10.294883,1836024400
2011-05-23,11.784643,12.091429,11.765000,12.050357,10.362135,1425911200
2011-05-30,12.182143,12.576071,12.178571,12.265714,10.547321,1624470400
2011-06-06,12.346429,12.394643,11.625357,11.639286,10.008657,2034494000
2011-06-13,11.685714,11.901786,11.368929,11.437857,9.835445,2188849600
2011-06-20,11.334286,11.898214,11.089286,11.655357,10.022475,2524177600
2011-06-27,11.699643,12.267857,11.687500,12.259286,10.541796,1744926400
2011-07-04,12.250000,12.857143,12.232143,12.846786,11.046986,1688976800
2011-07-11,12.726429,13.035714,12.450714,13.032857,11.206989,2200923200
2011-07-18,13.051071,14.152500,13.045714,14.046429,12.078565,3376402400
2011-07-25,13.941071,14.446429,13.714286,13.945714,11.991956,2952331200
2011-08-01,14.206429,14.267857,12.948929,13.343571,11.474173,4060882000
2011-08-08,12.917500,13.558571,12.607857,13.463929,11.577671,4376019200
2011-08-15,13.558214,13.748929,12.714286,12.715357,10.933970,3028678800
2011-08-22,13.018214,13.707143,12.681786,13.699286,11.780051,3331241200
2011-08-29,13.863571,14.002857,13.279643,13.358929,11.487382,2128442400
2011-09-05,13.120357,13.878929,13.088571,13.481429,11.592720,1841246400
2011-09-12,13.321429,14.303571,13.282143,14.303571,12.299682,2559449200
2011-09-19,14.178571,15.102143,14.114286,14.439286,12.416384,3720348800
2011-09-26,14.280714,14.616071,13.613571,13.618571,11.710650,3073739200
2011-10-03,13.584643,13.742143,12.651429,13.207143,11.356860,4037286400
2011-10-10,13.538929,15.071429,13.507500,15.071429,12.959966,2670040800
2011-10-17,15.062143,15.239286,13.955357,14.031071,12.065359,3842221600
2011-10-24,14.149286,14.607143,14.041071,14.462500,12.436344,2206377600
2011-10-31,14.372143,14.618929,14.043571,14.294286,12.291699,1988257600
2011-11-07,14.282500,14.571429,13.580714,13.736429,11.811995,2627940000
2011-11-14,13.697143,13.969286,13.388571,13.390714,11.514712,2064764800
2011-11-21,13.228571,13.497500,12.975714,12.984643,11.165533,1540033600
2011-11-28,13.298214,14.058214,13.221429,13.917857,11.968005,1894443600
2011-12-05,14.053214,14.157500,13.812857,14.057857,12.088391,1618904000
2011-12-12,13.988571,14.121429,13.488571,13.607857,11.701436,1724562000
2011-12-19,13.659643,14.413929,13.588571,14.404643,12.386595,1307451600
2011-12-26,14.396429,14.610357,14.303929,14.464286,12.437883,889378000
2012-01-02,14.621429,15.098214,14.607143,15.085714,12.972249,1151805200
2012-01-09,15.196429,15.276786,14.952143,14.993214,12.892705,1305914400
2012-01-16,15.150000,15.406071,14.991071,15.010714,12.907756,1195401200
2012-01-23,15.095357,16.230356,14.983929,15.974286,13.736333,2435708800
2012-01-30,15.918214,16.428572,15.906786,16.417143,14.117149,1514466800
2012-02-06,16.370714,17.772142,16.364286,17.622143,15.153331,2489043200
2012-02-13,17.840357,18.796070,17.379642,17.932858,15.420515,3964091600
2012-02-20,18.102858,18.674999,18.004286,18.657499,16.043634,2071997200
2012-02-27,18.618214,19.578930,18.438572,19.470715,16.742926,3214962800
2012-03-05,19.479286,19.562143,18.436428,19.470358,16.742619,3353260400
2012-03-12,19.606428,21.428928,19.535713,20.913214,17.983339,4502187200
2012-03-19,21.370358,21.773214,21.037500,21.287500,18.305182,3416299600
2012-03-26,21.421070,22.194643,21.259287,21.412500,18.412664,3197608400
2012-04-02,21.493929,22.666430,21.442142,22.631430,19.460825,2647190000
2012-04-09,22.361786,23.000000,21.553928,21.615356,18.587103,3657858400
2012-04-16,21.787857,22.151787,20.372143,20.463572,17.596685,4896550400
